,identifier,IE_number,Handle
0,jc019534,IE1549006,10381/235956
1,pi011466,IE1549237,10381/461792
2,rg004806,IE875406,10381/61434
3,pi006829,IE1549528,10381/462381
4,a16925,IE1549078,10381/103256
5,jc019402,IE1548973,10381/236899
6,pc004486,IE1549090,10381/463088
7,pc003333,IE1549552,10381/462433
8,pi011977,IE1549468,10381/462239
9,jc019162,IE1549534,10381/235807
10,is004002,IE8830884,10381/79309
11,pi000685,IE1549387,10381/462096
12,rg001686,IE886034,10381/64251
13,cr000230,IE1173586,10381/24902
14,b30377,IE1549153,10381/463158
15,fc000520,IE110445,10381/74608
16,is003840,IE8830881,10381/473584
17,jc019348,IE1549105,10381/999800
18,pi006827,IE1549156,10381/463173
19,jc019657,IE1548994,10381/236036
20,a14146,IE1549327,10381/252160
21,pi011465,IE1549210,10381/463329
22,dc000100,IE1228905,10381/51744
23,mp012627,IE1549150,10381/172544
24,wa000057,IE133224,10381/100953
25,a16976,IE1549141,10381/74117
26,is002446,IE1335058,10381/39870
27,b30380,IE1549318,10381/461968
28,cg000031,IE40783,10381/54894
29,b46905,IE1549363,10381/252166
30,pc003326,IE1113087,10381/451344
31,pc003338,IE1549333,10381/461982
32,pi003951,IE1549342,10381/165063
33,mp009824,IE802849,10381/252236
34,b30379,IE1548982,10381/462949
35,is003836,IE1301374,10381/456946
36,cf002020,IE116004,10381/75609
37,is006917,IE1549222,10381/187493
38,pc003331,IE1549603,10381/462483
39,jc019429,IE1549057,10381/74163
40,pi009830,IE1549579,10381/50087
41,mp001774,IE803365,10381/240322
42,is003833,IE1304378,10381/457939
43,pi006820,IE1549087,10381/463070
44,cc002019,IE263318,10381/54355
45,a14331,IE1549201,10381/252285
46,cc002597,IE220821,10381/55191
47,wp004888,IE1549021,10381/221659
48,pc002844,IE1549120,10381/252212
49,pi011464,IE1549426,10381/462168
50,cr004012,IE1508773,10381/73976
51,pi004886,IE1549459,10381/252351
52,pi006830,IE1549309,10381/461951
53,b22442,IE531131,10381/92572
54,is002208,IE1549018,10381/462983
55,b29900,IE421503,10381/84659
56,is007587,IE1549585,10381/205765
57,cr004928,IE1316929,10381/43059
58,pi006824,IE1549435,10381/462183
59,jc019437,IE1549296,10381/999819
60,is003834,IE1383343,10381/459181
61,ca000178,IE1132782,10381/72835
62,is003846,IE1381598,10381/460203
63,ax000011,IE91391,10381/15416
64,pc004490,IE1549618,10381/462522
65,jc019608,IE1549114,10381/236107
66,pi009209,IE1549369,10381/49903
67,jc018229,IE1549054,10381/236862
68,jc018236,IE1549012,10381/999685
69,gr006694,IE920049,10381/31622
70,jc019154,IE1549249,10381/4127267
71,dc000508,IE1232837,10381/47855
72,pi000691,IE1549234,10381/463445
73,is006229,IE1549030,10381/173904
74,dc000494,IE1233319,10381/993838
75,pi000626,IE1549345,10381/146248
76,cf002018,IE143796,10381/75520
77,rg000949,IE896363,10381/65846
78,cc000817,IE263086,10381/54060
79,dh000279,IE1225674,10381/25301
80,pi009206,IE1549000,10381/50152
81,wp001767,IE1549378,10381/71847
82,a09999,IE1549501,10381/252248
83,jc019151,IE1549291,10381/235819
84,jc019156,IE1549015,10381/235787
85,pc003341,IE1549414,10381/462152
86,pi000684,IE1548988,10381/462964
87,is008858,IE1549189,10381/242734
88,a14263,IE1549072,10381/252424
89,pi008044,IE1549615,10381/41621
90,cc001953,IE223388,10381/54209
91,pi005719,IE1549093,10381/151353
92,jc019208,IE1548964,10381/235715
93,pc004492,IE1549531,10381/462403
94,jc019353,IE1549069,10381/234178
95,pi006819,IE1549612,10381/462501
96,a14314,IE1548976,10381/121657
97,cr003273,IE1381493,10381/42891
98,pi008053,IE1549294,10381/41549
99,a40081,IE1113024,10381/103249
100,gr006712,IE935354,10381/448724
101,dc000507,IE1173538,10381/993950
102,is003841,IE1549507,10381/462320
103,is008892,IE1549606,10381/242908
104,is002206,IE1383634,10381/459689
105,is001843,IE1549081,10381/252177
106,pi006821,IE1549177,10381/463208
107,dc000292,IE1249838,10381/51729
108,jc019152,IE1549273,10381/4127269
109,pc003325,IE1549630,10381/135003
110,is006005,IE1549588,10381/173243
111,cf001581,IE110672,10381/47880
112,b21966,IE560714,10381/121675
113,pi003848,IE1549315,10381/252253
114,b30386,IE1549123,10381/463097
115,is003842,IE8830893,10381/473585
116,mp015334,IE1549465,10381/252317
117,pi007373,IE1549456,10381/49162
118,b30382,IE1549144,10381/463141
119,pi004887,IE1549168,10381/91534
120,is002207,IE1335244,10381/456786
121,pi006828,IE1549441,10381/462205
122,jc019153,IE1549660,10381/999983
123,a14277,IE1549633,10381/252315
124,is003831,IE1549474,10381/462273
125,pi004883,IE1548952,10381/252307
126,pi009227,IE1549516,10381/50210
127,b51983,IE443198,10381/109898
128,pi000033,IE1549300,10381/157917
129,jc018235,IE1549621,10381/999973
130,mp004693,IE736708,10381/42429
131,pi003855,IE1548997,10381/252179
132,jc018234,IE1548943,10381/999663
133,mp003287,IE696218,10381/260987
134,pi008052,IE1549108,10381/41612
135,jc019160,IE1549165,10381/238428
136,jc019267,IE1549597,10381/235873
137,jc018230,IE1548955,10381/999673
138,cr004020,IE1540735,10381/73959
139,mp009829,IE736786,10381/252215
140,pi009210,IE1549063,10381/49904
141,is003897,IE1548991,10381/77370
142,dc000492,IE1225400,10381/48411
143,jc019209,IE1549102,10381/999789
144,rg008078,IE894033,10381/59025
145,is003845,IE1421587,10381/461463
146,b30384,IE1549138,10381/463125
147,b22447,IE560783,10381/252269
148,pc003330,IE1549306,10381/461927
149,pi003860,IE1549462,10381/252333
150,is002204,IE1421555,10381/461443
151,pi004888,IE1549042,10381/252292
152,mp006545,IE8284406,10381/136914
153,b22001,IE546670,10381/208219
154,pi006823,IE1549510,10381/462341
155,mp000881,IE808713,10381/236376
156,a40143,IE1549420,10381/72895
157,pi012823,IE1549408,10381/101237
158,dc000393,IE1225565,10381/47700
159,pc002454,IE1549283,10381/252170
160,ca000190,IE1249982,10381/455403
161,is001796,IE1548949,10381/252682
162,dc000294,IE1173894,10381/994049
163,is002203,IE1548931,10381/77377
164,dc000451,IE1173057,10381/48423
165,a09054,IE1549132,10381/252254
166,is003832,IE1316314,10381/457856
167,cr003277,IE1549642,10381/42983
168,is003850,IE1317065,10381/458742
169,is003839,IE1383096,10381/458918
170,jc018228,IE1549282,10381/235278
171,jc019346,IE1549477,10381/235782
172,a40739,IE1549564,10381/252159
173,mp001708,IE808799,10381/241690
174,is003837,IE1446433,10381/461416
175,mp003190,IE754170,10381/252303
176,pc003335,IE1549045,10381/463034
177,is003907,IE1421852,10381/461685
178,is003838,IE1421971,10381/460746
179,pc004487,IE1549453,10381/462221
180,pi000399,IE1549594,10381/40182
181,a41938,IE1549330,10381/41405
182,b30375,IE1549207,10381/463314
183,jc018222,IE1549324,10381/232103
184,an017555,IE802466,10381/221925
185,b30381,IE1549360,10381/462025
186,pi006815,IE1549471,10381/462257
187,pc003713,IE1549135,10381/252231
188,b30387,IE1549384,10381/462079
189,fc000206,IE809285,10381/74232
190,pi006818,IE1549591,10381/462465
191,pi009226,IE1549657,10381/50216
192,pc003328,IE1549180,10381/463226
193,pi004875,IE1549651,10381/252270
194,is003847,IE1381774,10381/77942
195,pc004491,IE1549027,10381/463001
196,jc019262,IE1549228,10381/999816
197,pi011926,IE1549252,10381/90713
198,wp003076,IE1549417,10381/74727
199,b21963,IE432058,10381/150866
200,cf001570,IE110279,10381/47893
201,gr006711,IE927500,10381/31524
202,cg004621,IE57973,10381/247042
203,pi000690,IE1549672,10381/462599
204,is003830,IE1421838,10381/461656
205,mp012737,IE1549009,10381/122512
206,is003848,IE1421941,10381/460736
207,is003849,IE1301379,10381/456970
208,wp001505,IE1548961,10381/71997
209,sj000180,IE1549666,10381/15611
210,vr000294,IE1042963,10381/96368
211,wp003058,IE1549543,10381/74713
212,pi011976,IE1549375,10381/94238
213,jc019354,IE1549357,10381/999858
214,is007583,IE1549117,10381/205770
215,pc004104,IE1548934,10381/252249
216,is002209,IE8830899,10381/130997
217,a14292,IE1549519,10381/252316
218,pc004537,IE1113084,10381/94697
219,pc004485,IE1549558,10381/50261
220,pi009831,IE1549288,10381/50101
221,dc000271,IE1233757,10381/51881
222,pc004124,IE1549033,10381/252350
223,b30385,IE1549402,10381/462133
224,b30376,IE1549066,10381/463051
225,pi003864,IE1549390,10381/252324
226,fc000207,IE111885,10381/74229
227,cc002034,IE274682,10381/54570
228,pc003337,IE1549036,10381/463018
229,cc002036,IE263185,10381/412210
230,sj000318,IE1549483,10381/41875
231,a37542,IE1549174,10381/49768
232,pi015143,IE1549303,10381/172641
233,cr002336,IE1549438,10381/33278
234,pi011463,IE1549381,10381/89497
235,pi000686,IE1549480,10381/462287
236,cf002558,IE179816,10381/50568
237,pc004493,IE1549354,10381/462013
238,pi006826,IE1549264,10381/461859
239,pc003336,IE1549372,10381/462055
240,is002205,IE1549195,10381/463282
241,dc000293,IE1249799,10381/992891
242,is001810,IE1549624,10381/252266
243,mp005139,IE8283242,10381/74798
244,jc018200,IE1549639,10381/234196
245,pi016395,IE1549084,10381/217808
246,is003994,IE1549495,10381/79253
247,cc002033,IE274738,10381/54398
248,a14302,IE1549561,10381/252276
249,df000366,IE155626,10381/145827
250,jc019261,IE1549261,10381/236898
251,cc000498,IE238852,10381/53206
252,b30374,IE1549171,10381/463193
253,wp001064,IE1549192,10381/72265
254,jc019347,IE1549537,10381/999914
255,a41939,IE1549366,10381/462039
256,pi009827,IE1549540,10381/50234
257,pi009228,IE1549312,10381/49971
258,pi006817,IE1549243,10381/461812
259,pc003339,IE1549339,10381/461996
260,pc003334,IE1549395,10381/462117
261,pi009247,IE1549240,10381/50136
262,pi006816,IE1549636,10381/462544
263,is003908,IE1316737,10381/458391
264,b51900,IE555340,10381/252203
265,pi000680,IE1549051,10381/106237
266,pi009822,IE1548946,10381/50063
267,b30373,IE1549198,10381/150927
268,ca000147,IE1173641,10381/72736
269,is002817,IE1549429,10381/73881
270,is007611,IE1549099,10381/205788
271,ca000191,IE1173392,10381/72763
272,sj000339,IE1549096,10381/92976
273,b51830,IE547522,10381/252299
274,pc003327,IE1549675,10381/462616
275,pc003340,IE1549231,10381/472530
276,mp010329,IE1549111,10381/172570
277,b28535,IE1549648,10381/41180
278,pi006825,IE1549525,10381/462362
279,is003844,IE1316891,10381/458651
280,cc000275,IE181437,10381/53100
281,a14152,IE1549405,10381/172562
282,sj000345,IE1549663,10381/15614
283,a14212,IE1549498,10381/252575
284,is003906,IE1358395,10381/460232
285,dc000579,IE1238859,10381/49287
286,dc000493,IE1233031,10381/993488
287,fc000320,IE114474,10381/74481
288,mp015335,IE1548967,10381/462936
289,cg001293,IE72574,10381/82790
290,is003898,IE1549268,10381/461876
291,pc003332,IE1549279,10381/461908
292,df000362,IE179771,10381/145902
293,is004001,IE1549609,10381/79466
294,pi006822,IE1549183,10381/463246
295,a14276,IE1548985,10381/252224
296,b46882,IE421372,10381/252295
297,b30378,IE1549549,10381/462416
298,b52611,IE1549276,10381/44979
299,is003843,IE8830902,10381/473586
300,b27928,IE560925,10381/165080
301,is006221,IE1549399,10381/173848
302,a17985,IE1549654,10381/49796
303,pi015174,IE1549582,10381/462449
304,wp007473,IE1549423,10381/252258
305,pi003858,IE1549486,10381/252281
306,rg003532,IE899004,10381/62697
307,cr001311,IE1358171,10381/79052
308,b30383,IE1549186,10381/463262
309,is003835,IE1253323,10381/455796
310,cr002335,IE1357678,10381/33289
311,pc004488,IE1549126,10381/463108
312,pi003953,IE1548970,10381/151411
313,a14367,IE1549447,10381/252250
314,jc019403,IE1549576,10381/999938
315,pi008043,IE1549336,10381/41619
316,mp004878,IE808375,10381/252852
317,mp009291,IE736834,10381/252147
318,cr001332,IE1549546,10381/40668
319,b47228,IE432004,10381/105011
320,jc019436,IE1549075,10381/235763
321,jc018233,IE1549522,10381/235201
322,pi006831,IE1549645,10381/462561
323,cr004027,IE1549570,10381/73952
324,pi000683,IE1549573,10381/137118
325,pc002856,IE1549489,10381/252142
326,mp007357,IE696292,10381/252286
327,pc004489,IE1549246,10381/461828
328,pc003329,IE1549492,10381/462302
329,cr003278,IE1316915,10381/42910
